,video_name,total_distance,average_speed,max_speed,stop_duration,sum_top_time,crosses_count,first_ascent_latency
0,palm_control_5,0.6530343797280656,0.6530343797280656,0.7765246456375168,inf,0.9600096362322332,0.43609022556390975,
1,palm_control_11,0.9897185733439767,0.9897185733439768,1.0,,1.2633100457721032,1.6090225563909775,0.8158640226628894
2,palm_control_9,1.2039524200644243,1.2039524200644243,1.1629742978326894,,1.1481570705854012,1.112781954887218,0.43059490084985835
3,palm_control_12,1.2079159123890306,1.2079159123890306,1.1773052116226976,,1.3982172970368587,1.2481203007518797,4.419263456090651
4,palm_control_13,0.8397074982261741,0.8397074982261741,0.7908373928230491,,1.318236569501325,1.0827067669172932,0.9631728045325778
5,palm_control_10,1.1389102835909495,1.1389102835909497,0.9475102754580345,,0.9383281137075404,1.5037593984962405,3.6090651558073654
6,palm_control_6,0.7730334760209576,0.7730334760209576,0.9645497156078775,inf,1.0845579378463022,0.7669172932330827,2.1529745042492916
7,palm_control_3,1.423179231396864,1.423179231396864,1.359811476734912,,0.9725367381353891,,0.45325779036827196
8,palm_control_4,1.2889416161784022,1.2889416161784024,1.5068142243451057,,0.9932546374367622,0.8270676691729323,2.6572237960339944
9,palm_control_8,0.829364636344206,0.8293646363442061,0.8141870486638082,,0.6246687545169839,0.706766917293233,0.5382436260623229
10,palm_control_7,1.0,1.0,1.093437247898785,,1.0,0.9172932330827067,1.036827195467422
