,video_name,total_distance,average_speed,max_speed,stop_duration,sum_top_time,crosses_count,first_ascent_latency
0,caff_100mg_9,1.3866649939951319,1.3866649939951317,1.3380339014198688,,1.0595238095238095,0.819672131147541,2.0437158469945356
1,caff_100mg_13,1.4953603695409354,1.4953603695409354,1.4519829006615623,,1.3183333333333334,2.1475409836065573,1.1038251366120218
2,caff_100mg_3,2.808616101093074,2.8086161010930746,2.255446713430625,,1.0011904761904762,,0.5191256830601092
3,caff_100mg_4,0.9870530681125436,0.9870530681125436,1.083110749111342,,1.598809523809524,0.7868852459016393,1.4043715846994533
4,caff_100mg_7,1.5633493399870735,1.5633493399870733,1.855081879529804,,0.981904761904762,2.1147540983606556,2.2131147540983607
5,caff_100mg_14,1.9564592472046654,1.9564592472046651,2.0127577924281894,,0.940952380952381,2.5737704918032787,0.7978142076502732
6,caff_100mg_6,0.9102884985304457,0.9102884985304455,1.062208650332735,,2.0476190476190474,0.26229508196721313,2.360655737704918
7,caff_100mg_8,1.5740612457824097,1.5740612457824092,1.6581371990872564,,1.3297619047619047,1.3114754098360655,2.1311475409836063
8,caff_100mg_0,3.3467097446267857,3.346709744626785,3.2535859636678386,,1.5364285714285715,,0.366120218579235
9,caff_100mg_2,2.1362786976056847,2.1362786976056847,2.142112814506674,,1.6011904761904763,2.360655737704918,0.7704918032786885
10,caff_100mg_1,1.8722420917068079,1.8722420917068079,1.6859423092638617,,1.026904761904762,3.6557377049180326,0.16393442622950818
11,caff_100mg_12,1.3824219040922199,1.3824219040922199,1.490500857665149,,1.4571428571428573,1.2950819672131149,0.7486338797814208
12,caff_100mg_5,1.2229239383685084,1.2229239383685084,1.1823321430746023,,0.9769047619047619,1.5245901639344261,3.8251366120218577
13,caff_100mg_11,1.7293186183202383,1.729318618320238,1.7026528420067295,,1.5035714285714286,3.6557377049180326,0.6775956284153005
14,caff_100mg_10,1.542810452304085,1.542810452304085,1.6923174327923334,,0.9178571428571428,1.6885245901639345,2.5245901639344264
