,video_name,total_distance,average_speed,max_speed,stop_duration,sum_top_time,crosses_count,first_ascent_latency
0,10j_1mg_11,0.76335580153183,0.7633558015318299,0.7337666154091977,,1.1860134558893205,0.5578635014836796,0.8240343347639485
1,10j_1mg_1,1.7700716690829785,1.7700716690829783,1.6460284888443477,,1.0831043305221264,0.629080118694362,1.4420600858369097
2,10j_1mg_0,0.8944321332821583,0.8944321332821583,1.0339791360262895,,0.8050791244195963,0.3620178041543027,1.7768240343347637
3,10j_1mg_10,0.6860398188565991,0.6860398188565991,0.7583661680924918,,1.2036387757035913,0.42729970326409494,1.3390557939914163
4,10j_1mg_12,0.857226763288089,0.8572267632880889,1.0170687477249085,,0.8348336965791717,0.42729970326409494,
5,10j_1mg_8,0.8323678930458249,0.8323678930458247,0.804616768002272,,1.0162039230550555,0.712166172106825,1.8454935622317594
6,10j_1mg_7,0.6517002507206916,0.6517002507206915,0.778605199462263,,0.8185350137401686,0.4807121661721068,3.03862660944206
7,10j_1mg_9,0.8310628233512202,0.83106282335122,0.8939076383028691,,0.734577845162513,0.39762611275964393,1.4248927038626609
8,10j_1mg_14,2.1031726953237113,2.1031726953237113,1.9633449950045945,,1.0857576044726618,,0.8497854077253219
9,10j_1mg_5,1.8139749669869007,1.8139749669869005,1.9186215247277256,,1.1257462332985881,1.1335311572700297,1.4420600858369097
10,10j_1mg_3,0.8324823687347854,0.8324823687347855,1.0534350766403104,,1.205913010518336,0.26112759643916916,3.313304721030043
11,10j_1mg_6,0.9219188855796163,0.9219188855796161,0.8421551100286568,,1.3211409077987302,0.7181008902077152,3.1587982832618025
12,10j_1mg_15,2.3438547406005843,2.3438547406005843,2.0431540580097103,,0.9316781957737136,,0.30901287553648066
13,10j_1mg_4,1.8650793334430624,1.8650793334430622,1.741106881327556,,0.778356865346347,0.6646884272997032,0.1802575107296137
14,10j_1mg_13,1.381203101639751,1.381203101639751,1.3954861317427687,,1.3937269023026628,0.8605341246290801,2.07725321888412
15,10j_1mg_2,1.3529955300413345,1.3529955300413343,1.283046486430216,,0.9240974130578982,0.4688427299703264,2.3175965665236054
