,video_name,total_distance,average_speed,max_speed,stop_duration,sum_top_time,crosses_count,first_ascent_latency
0,caff_control_12,1.2141575482797784,1.2141575482797784,1.2109216784523102,,1.381904761904762,1.360655737704918,4.2622950819672125
1,caff_control_2,0.7728949059667827,0.7728949059667827,0.7936036641865725,inf,,0.5573770491803278,1.4043715846994533
2,caff_control_3,1.4305331924454312,1.4305331924454312,1.3986391799939337,,0.9611904761904762,,0.4371584699453552
3,caff_control_6,0.7770279539802214,0.7770279539802213,0.9920912173358389,inf,1.071904761904762,0.8360655737704918,2.076502732240437
4,caff_control_5,0.6564087891390165,0.6564087891390165,0.7986973284174314,inf,0.9488095238095239,0.47540983606557374,
5,caff_control_0,0.6215057052654541,0.621505705265454,0.6018563547599622,inf,1.0,0.7868852459016393,3.6830601092896176
6,caff_control_1,1.0288008372721216,1.0288008372721216,1.007908782664161,,1.3269047619047618,1.5081967213114753,0.19672131147540983
7,caff_control_13,0.8440464993146626,0.8440464993146625,0.8134187580637674,,1.302857142857143,1.180327868852459,0.9289617486338797
8,caff_control_11,0.9948327231831866,0.9948327231831866,1.0285537399288995,,1.2485714285714284,1.7540983606557377,0.7868852459016393
9,caff_control_7,1.0051672768168134,1.0051672768168132,1.1246589707038586,inf,0.9883333333333333,1.0,1.0
10,caff_control_4,1.2956019343099068,1.295601934309907,1.5498394058282223,,0.9816666666666666,0.9016393442622951,2.5628415300546448
11,caff_control_10,1.1447953482957793,1.1447953482957793,0.9745652374434233,,0.9273809523809524,1.639344262295082,3.480874316939891
12,caff_control_9,1.2101735754931695,1.2101735754931693,1.1961815634769988,,1.1347619047619046,1.2131147540983607,0.4153005464480874
13,caff_control_8,0.8336501930022723,0.8336501930022722,0.8374351339048329,,0.6173809523809524,0.7704918032786885,0.5191256830601092
